"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","symbol","genename"
"AT4G27020",59.2282685822657,-0.801154119284631,0.329688342769412,0.00188863657391355,0.01803149107863,"AT4G27020",NA,NA
"AT5G14105",111.952230611443,0.68870649930151,0.271248245383708,0.00188853885360822,0.01803149107863,"AT5G14105",NA,NA
"AT2G47640",383.369686746781,0.663316072200096,0.258364892721148,0.00189327984624052,0.0180675945636226,"AT2G47640","SmD2a",NA
"AT3G50380",142.444331168048,-0.989941413044681,0.438336287396859,0.00189509830154992,0.0180767201957669,"AT3G50380",NA,NA
"AT2G36050",24.9682507205888,1.06977977431521,0.486436333041565,0.00189888370048593,0.018096361665631,"AT2G36050","ATOFP15",NA
"AT3G25930",342.126632560311,0.740791505784959,0.298140816686225,0.00189870494547954,0.018096361665631,"AT3G25930",NA,NA
"AT3G15220",141.587141265085,-0.72900713654832,0.291901429067979,0.00190068190932862,0.0181027904831689,"AT3G15220",NA,NA
"AT5G27820",200.74243041332,0.742144818318628,0.299353799101908,0.0019012851590164,0.0181027904831689,"AT5G27820","uL18m",NA
"AT3G54560",413.274841853314,0.502341419214477,0.18258427915778,0.00190290429000449,0.0181060984800023,"AT3G54560","H2A.Z","Encodes HTA11, a histone H2A protein."
"AT5G60660",1037.94515505796,0.562532789636876,0.209736197304409,0.00190335977534699,0.0181060984800023,"AT5G60660","PIP2;4","A member of the plasma membrane intrinsic protein subfamily PIP2.When expressed in yeast cells can conduct hydrogen peroxide into those cells."
"AT3G27630",18.2566629713371,1.19914645308308,0.555788970774462,0.0019085054976866,0.0181347118467123,"AT3G27630","SMR7",NA
"AT3G51550",1370.7163238211,-0.657663799321704,0.256656739276959,0.00190896256060736,0.0181347118467123,"AT3G51550","FER","Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception."
"AT5G27970",222.498342615331,-0.796892245896818,0.328726826158174,0.00190791486156396,0.0181347118467123,"AT5G27970",NA,NA
"AT5G47430",271.218189285351,-0.672257175990459,0.263521679873405,0.0019107835089662,0.0181437894243593,"AT5G47430",NA,NA
"AT5G60120",82.4739729328223,-0.66168672307028,0.257478792416769,0.00191215531043693,0.0181485958527029,"AT5G60120","TOE2",NA
"AT2G47610",4528.4983013472,0.655480517793642,0.253302490218314,0.0019170950153613,0.0181872461955045,"AT2G47610","eL8z",NA
"AT3G59220",93.8987793428033,0.705674740263176,0.280919299131132,0.00191984460317468,0.0182050936002534,"AT3G59220","ATPIRIN1","encodes a cupin-domain containing protein that is similar to pirins which interact with a CCAAT box binding transcription factor. The protein interacts with GPA1 (G protein alpha-subunit) in vitro. Mutants in the gene are affected in germination and early seedling development."
